7077	4320	-1
217	3723	1
3424	20212	-1
9379	46568	-1
31790	1782	1
5777	7082	1
53614	48617	1
3886	2224	1
52477	60373	1
1231	1925	1
661	5213	-1
4940	3617	1
3750	4042	-1
3750	4043	-1
3249	110648	-1
68609	58608	1
4940	3621	1
13220	673	1
1420	2084	1
3201	4948	1
50260	5639	1
6711	1492	1
4940	3626	1
3736	4114	1
5571	6298	1
52336	219	1
6300	1089	1
3749	38566	-1
5409	35731	1
3201	4931	-1
29296	21664	1
1026	2335	1
71778	2292	1
1026	2339	1
71778	2293	1
155	6613	1
1231	1945	1
2844	1832	-1
1780	1003	1
2304	36698	1
966	11968	-1
47446	47447	1
1455	77262	1
95469	2998	1
14637	40665	-1
1578	5203	1
3765	161	1
209	423	1
24486	34978	1
5395	453	1
5395	410	1
1869	96104	-1
5925	3604	1
4417	1321	1
2506	7807	-1
4417	1328	1
1231	1960	1
4417	1329	1
4341	9995	1
25974	25	1
29437	693	1
1396	3763	1
2096	2100	-1
3251	6709	-1
4550	1392	-1
6339	6741	-1
1274	2402	1
34256	34253	1
1274	2405	1
1274	2406	1
1231	1951	1
661	5261	-1
1117	3066	1
39734	24045	1
1231	1957	1
3220	6163	1
4550	1397	-1
3193	4018	-1
2540	15327	1
120010	6307	1
1026	2376	1
29403	7371	1
1420	2094	1
4456	549	1
99940	3177	1
8832	11680	1
6055	67729	1
897	95751	1
353	23724	1
2322	9430	1
4456	552	1
1161	584	1
10083	966	1
1026	2387	1
1231	1972	1
25974	57	1
2955	10083	1
661	5245	-1
23015	6033	1
3171	12016	-1
4550	1360	-1
5029	2738	1
6332	28456	-1
1611	25	1
12128	6280	1
584	1328	1
25246	1786	-1
4550	1365	1
1019	1020	-1
6302	46717	-1
1685	16115	-1
8566	931	1
549	3321	1
2339	317	-1
1702	2475	-1
33258	988	1
12128	6276	-1
584	1343	-1
12141	1907	1
3223	9995	1
4550	1353	-1
4550	1354	-1
29445	41544	-1
1958	565	1
1413	3438	1
25219	9289	1
61684	1547	1
16163	14	1
1611	52	1
28932	28933	1
1611	57	1
1958	556	1
12128	6296	1
28081	28082	1
364	7	-1
18467	28650	1
1810	6943	1
3483	115357	-1
56579	5551	1
4481	3069	1
8566	988	1
549	3376	1
3624	5257	1
4550	1327	-1
971	2479	1
5758	363	1
52775	73551	1
1650	20628	1
3750	4018	-1
33546	25	1
4550	1321	-1
5758	365	-1
39599	8518	1
36389	90602	-1
4080	11513	-1
1702	2437	1
3363	5561	1
2925	689	1
1817	2560	1
111516	23	1
6726	5148	1
31628	693	1
1611	79	1
2280	3646	1
689	11614	1
4854	63676	1
1611	1782	1
75652	3160	1
70623	47202	1
1781	24528	1
