2406	229,361
3019	39,266,283,322
1548	361
7416	22,75,361
3585	246
3815	13,201,246,361
8042	60,229,246,361
3043	85,229,361
6436	229,240,266,361,381
3006	59,198,361
4417	229,361,462
1258	29,75,229,246,361
4186	27,420,421,472
4885	229,246,361,365
8070	29,246,281,352,361
6996	0,75,180,308
6860	42,246
6606	361
2298	75,168,246,360,361
8035	361
7103	246,361
1600	246,281,361,419
4065	27,48,69,246,361
7422	200,283,421
2314	29,246
5194	27,229,266,361
8069	209,361
1506	361,420
6644	75,361
376	229,246,266
892	229,361
4423	246,283,361
6762	27,75,85,229,361,381,452
1500	420
1555	0,246,361,467
8025	75,246
1827	13,229,361
7217	43,246,361
7018	42,75,132,266,361
5291	361
6950	229,246,361
5667	229,361,380
3292	361
3748	246,361
4492	27,246,361,462
1864	246,361
4347	27,29,229,276,281,361,365,420
8152	39,52,75,209,229,281,283,361
753	229,266,361
1545	281,361
7363	0,27,29,209,229
1982	29,246,271,361
5935	246,361
681	361
4667	246,361
6877	245,396
3576	75,361,396
3486	229,361
1543	277,308,361
4243	361
5264	48,246,281
6605	27,278,361
1638	0,27,48,246,361
7927	229,246,361
3640	27,226,290,361
3897	27,229,246,291,361
3446	229,266,361
4471	0,27,127,361
6657	29,246,361
7913	168,229
714	0,361
2719	27,75,229,360
5245	27,75,246,361
4128	27,75,361
6224	27,229,246,361
4238	27,246,361
6052	27,246,361
5710	29,209,229,361,462
4972	283,361
4728	0,246,361
4341	229,246,361
4783	361
735	322,361
658	27,94,229,361,420
1068	29,361
5129	0,27,229,361,439
7745	27,75,168,229,281,361
771	75,229,246,361
4635	198,279,361
8289	229,281,361,420,462
1664	281,361
1706	0,266,361
1764	229,361
933	246,361
3127	27,246,361,420
5378	0,229,361
4011	0,361
462	229,281,361
7599	0,75,283,361
4066	27,229,361
640	216,229,361
3260	27,406
7425	81,127,229,246,361
7292	13,27,361
6617	48,75,168,246,281,361
1537	29,361
7669	27,361
7857	27,361
3448	198,229,361
708	229,361
3256	246,361
5788	246,361
5095	246,361,381
3589	198,229,361
3280	361
589	75,361
7993	245,246
1431	75,97,127,246
2889	361,462
5099	27,246,361
2616	99,361
2879	361
719	39,108,229,281,361
5361	75,127,229,361,462
5231	39,85,246,462
5933	29,361,420
619	361,468
7157	9,361
3929	85,229,246,361
6298	229,283
2434	229,246,361
4267	59,361
6776	229,361
2568	361
2627	27,75,157,246,281,361
3120	27,29,361
5303	229,361
8036	75,361
2857	281,361
5261	229,290,361
1855	27,361
7605	198,229,361
117	27,127,229,246,361,381
7690	281,328,361
8236	27,75,246,361
6134	246,361
1223	209,229,281,361
5590	29,361
2496	75,361
146	13,27,75,198,229,246
3103	27,102,229,361
638	75,361
2965	229,246,361,405
4225	29,246,420
6437	127,246,281,361
6873	27,198,361
5449	283,361,462
5193	209,290,361
2403	246,361
2695	246,361,421
7704	42,266,361
4000	20,75,246,361
3906	0,27,277,308,361,365
6247	0,229,281,361
6519	246,361
6969	186,361,419
4436	99,229,361
3558	361,462
7802	229,245,246,361
8145	246,291,361
2770	361
6223	27,75,90,246,281,361,462
3923	29,361
1407	180,246,279
3619	27,361
8265	127,266,283,361,381
4721	75,246,335,361,404
528	27,361
2652	229,237,283,361,420
7445	229,246,266,361
960	361
795	0,27,229,361
3647	211,246,361
1378	229,361
8291	27,71,361
676	246,361
5162	0,229,246,266,361
5353	0,229,361
824	0,42,127,198,361,414
1737	43,229,246,361
3307	0,27,39,75,188,246,311,361
412	39,229
