205,196,373,247,166
373,114,210,214,20
278,331,174,123,408
317,473,216,253,102
44,32,124,63,274
470,174,203,99,4
69,184,26,103,37
374,106,399,156,474
390,197,362,109,139
299,33,75,469,191
434,151,5,60,148
111,299,21,227,275
57,345,451,70,77
361,380,274,414,430
201,120,164,457,160
49,30,279,351,366
267,17,388,362,351
12,44,394,458,436
236,163,239,102,273
107,320,384,125,27
204,70,237,141,325
194,70,242,295,341
286,224,30,211,346
88,191,35,113,82
375,316,409,98,62
47,334,456,359,169
309,216,284,471,84
199,314,49,250,270
155,421,92,140,253
412,88,150,413,437
296,206,266,205,80
431,265,285,129,169
87,13,429,92,378
305,468,184,212,105
36,202,120,227,237
286,440,257,416,163
292,453,262,346,364
365,153,239,386,366
352,28,261,380,262
283,271,236,386,329
444,160,45,295,51
144,96,308,197,323
250,3,277,467,264
72,473,354,99,211
400,53,440,119,55
282,325,165,446,359
358,90,342,265,379
263,96,115,147,21
166,444,452,58,349
428,325,245,413,105
