432,213,352,275,286,205,196,373,247,166
62,147,358,96,146,373,114,210,214,20
215,75,458,378,286,278,331,174,123,408
178,248,138,131,203,317,473,216,253,102
245,290,171,122,345,44,32,124,63,274
422,72,144,435,69,470,174,203,99,4
263,466,209,68,464,69,184,26,103,37
234,114,21,290,116,374,106,399,156,474
80,381,152,151,219,390,197,362,109,139
282,388,434,138,157,299,33,75,469,191
437,178,381,183,6,434,151,5,60,148
381,38,306,320,105,111,299,21,227,275
257,65,341,67,396,57,345,451,70,77
145,62,187,114,1,361,380,274,414,430
468,176,472,396,409,201,120,164,457,160
172,457,417,282,392,49,30,279,351,366
338,470,234,91,181,267,17,388,362,351
84,45,305,294,60,12,44,394,458,436
254,92,413,279,202,236,163,239,102,273
73,276,32,190,136,107,320,384,125,27
58,438,3,127,220,204,70,237,141,325
386,297,440,431,78,194,70,242,295,341
471,219,453,380,374,286,224,30,211,346
430,97,417,151,31,88,191,35,113,82
22,250,186,243,179,375,316,409,98,62
411,370,290,175,136,47,334,456,359,169
360,382,356,445,377,309,216,284,471,84
372,140,420,283,326,199,314,49,250,270
237,157,215,58,146,155,421,92,140,253
82,129,252,113,60,412,88,150,413,437
184,412,367,383,404,296,206,266,205,80
411,69,440,198,441,431,265,285,129,169
5,315,28,209,207,87,13,429,92,378
434,266,270,35,229,305,468,184,212,105
375,468,161,433,31,36,202,120,227,237
105,332,412,252,407,286,440,257,416,163
259,315,376,83,448,292,453,262,346,364
230,35,471,421,84,365,153,239,386,366
6,343,26,473,48,352,28,261,380,262
133,202,182,30,92,283,271,236,386,329
122,434,399,152,63,444,160,45,295,51
411,355,100,136,311,144,96,308,197,323
275,371,208,426,141,250,3,277,467,264
70,155,390,218,388,72,473,354,99,211
342,260,264,2,458,400,53,440,119,55
461,416,292,232,267,282,325,165,446,359
396,63,286,345,445,358,90,342,265,379
146,309,45,440,157,263,96,115,147,21
324,457,413,393,373,166,444,452,58,349
52,114,359,98,310,428,325,245,413,105
