373,247,166
210,214,20
174,123,408
216,253,102
124,63,274
203,99,4
26,103,37
399,156,474
362,109,139
75,469,191
5,60,148
21,227,275
451,70,77
274,414,430
164,457,160
279,351,366
388,362,351
394,458,436
239,102,273
384,125,27
237,141,325
242,295,341
30,211,346
35,113,82
409,98,62
456,359,169
284,471,84
49,250,270
92,140,253
150,413,437
266,205,80
285,129,169
429,92,378
184,212,105
120,227,237
257,416,163
262,346,364
239,386,366
261,380,262
236,386,329
45,295,51
308,197,323
277,467,264
354,99,211
440,119,55
165,446,359
342,265,379
115,147,21
452,58,349
245,413,105
